uid,date_account_created,date_first_booking,gender,age,signup_method,language,first_device_type,first_browser,country_destination
1,2010-06-28,NULL,-unknown-,NULL,facebook,en,"Mac Desktop",Chrome,NDF
2,2011-05-25,NULL,MALE,38,facebook,en,"Mac Desktop",Chrome,NDF
3,2010-09-28,2010-08-02,FEMALE,56,basic,en,"Windows Desktop",IE,US
4,2011-12-05,2012-09-08,FEMALE,42,facebook,en,"Mac Desktop",Firefox,other
5,2010-09-14,2010-02-18,-unknown-,41,basic,en,"Mac Desktop",Chrome,US
6,2010-01-01,2010-01-02,-unknown-,NULL,basic,en,"Mac Desktop",Chrome,US
7,2010-01-02,2010-01-05,FEMALE,46,basic,en,"Mac Desktop",Safari,US
8,2010-01-03,2010-01-13,FEMALE,47,basic,en,"Mac Desktop",Safari,US
9,2010-01-04,2010-07-29,FEMALE,50,basic,en,"Mac Desktop",Safari,US
10,2010-01-04,2010-01-04,-unknown-,46,basic,en,"Mac Desktop",Firefox,US
11,2010-01-04,2010-01-06,FEMALE,36,basic,en,"Mac Desktop",Firefox,US
12,2010-01-05,NULL,FEMALE,47,basic,en,iPhone,-unknown-,NDF
13,2010-01-05,2010-01-18,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,FR
14,2010-01-05,NULL,FEMALE,37,basic,en,"Mac Desktop",Firefox,NDF
15,2010-01-07,NULL,FEMALE,36,basic,en,iPhone,"Mobile Safari",NDF
16,2010-01-07,2010-01-08,FEMALE,33,basic,en,"Windows Desktop",Chrome,CA
17,2010-01-07,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
18,2010-01-07,2010-01-09,-unknown-,31,basic,en,Other/Unknown,-unknown-,US
19,2010-01-08,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
20,2010-01-10,2010-01-10,FEMALE,29,basic,en,"Mac Desktop",Chrome,FR
21,2010-01-10,2010-01-18,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
22,2010-01-10,2010-01-11,MALE,30,basic,en,"Mac Desktop",Chrome,US
23,2010-01-11,2010-01-11,-unknown-,40,basic,en,iPhone,-unknown-,US
24,2010-01-11,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Safari,NDF
25,2010-01-11,NULL,FEMALE,40,basic,en,"Mac Desktop",Firefox,NDF
26,2010-01-12,2010-01-15,FEMALE,26,basic,en,"Mac Desktop",Chrome,FR
27,2010-01-12,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
28,2010-01-12,2010-01-22,FEMALE,32,basic,en,"Desktop (Other)",Chrome,US
29,2010-01-13,2010-01-13,-unknown-,35,basic,en,Other/Unknown,-unknown-,FR
30,2010-01-13,2010-01-19,-unknown-,37,basic,en,"Android Tablet",-unknown-,US
31,2010-01-14,2010-01-24,-unknown-,42,basic,en,"Mac Desktop",Firefox,FR
32,2010-01-14,NULL,MALE,31,basic,en,Other/Unknown,-unknown-,NDF
33,2010-01-14,NULL,-unknown-,31,basic,en,Other/Unknown,-unknown-,NDF
34,2010-01-14,NULL,MALE,29,basic,en,Other/Unknown,-unknown-,NDF
35,2010-01-15,NULL,MALE,59,basic,en,"Windows Desktop",Chrome,NDF
36,2010-01-15,NULL,-unknown-,49,basic,en,Other/Unknown,-unknown-,NDF
37,2010-01-15,2010-01-15,FEMALE,31,basic,en,"Mac Desktop",Safari,US
38,2010-01-15,NULL,MALE,30,basic,en,"Windows Desktop",Chrome,NDF
39,2010-01-15,NULL,-unknown-,NULL,basic,en,"Windows Desktop",Firefox,NDF
40,2010-01-16,NULL,FEMALE,35,basic,en,"Mac Desktop",Safari,NDF
41,2010-01-16,NULL,MALE,26,basic,en,"Windows Desktop",Firefox,NDF
42,2010-01-19,2010-01-21,FEMALE,30,basic,en,"Mac Desktop",Chrome,US
43,2010-01-21,NULL,FEMALE,29,basic,en,Other/Unknown,-unknown-,NDF
44,2010-01-21,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
45,2010-12-01,2010-12-03,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,GB
46,2010-01-23,2010-01-27,FEMALE,44,basic,en,"Windows Desktop",IE,US
47,2010-01-24,2010-02-25,-unknown-,NULL,basic,en,"Mac Desktop",Safari,ES
48,2010-01-24,2010-01-24,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
49,2010-01-24,NULL,-unknown-,NULL,basic,en,"Windows Desktop",IE,NDF
50,2010-01-24,2010-01-25,-unknown-,34,basic,en,Other/Unknown,-unknown-,US
51,2010-01-25,NULL,-unknown-,30,basic,en,Other/Unknown,-unknown-,NDF
52,2010-01-25,2010-01-26,-unknown-,NULL,basic,en,"Mac Desktop",Safari,US
53,2010-01-25,2010-01-26,-unknown-,33,basic,en,iPad,"Mobile Safari",US
54,2010-01-26,NULL,MALE,28,basic,en,"Windows Desktop",Chrome,NDF
55,2010-01-26,2010-01-27,-unknown-,44,basic,en,"Mac Desktop",Firefox,US
56,2010-01-26,2010-07-30,-unknown-,19,basic,en,iPad,"Mobile Safari",US
57,2010-01-27,NULL,FEMALE,53,basic,en,"Android Tablet",Chrome,NDF
58,2010-01-27,2010-01-28,-unknown-,NULL,basic,en,"Android Tablet",Chrome,CA
59,2010-01-27,2010-01-27,MALE,52,basic,en,"Windows Desktop",Firefox,US
60,2010-01-28,NULL,-unknown-,NULL,basic,en,"Windows Desktop",Chrome,NDF
61,2010-01-29,NULL,-unknown-,NULL,basic,en,iPhone,"Mobile Safari",NDF
62,2010-01-29,NULL,MALE,39,basic,en,iPhone,"Mobile Safari",NDF
63,2010-01-29,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
64,2010-01-29,2010-01-29,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,CA
65,2010-01-30,2010-01-31,MALE,35,basic,en,"Windows Desktop",IE,CA
66,2010-01-30,NULL,FEMALE,40,basic,en,"Mac Desktop",Safari,NDF
67,2010-01-31,NULL,-unknown-,NULL,basic,en,"Windows Desktop",Chrome,NDF
68,2010-02-01,2010-02-02,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
69,2010-02-01,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Chrome,NDF
70,2010-02-01,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Safari,NDF
71,2010-02-02,2010-02-02,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
72,2010-02-02,NULL,FEMALE,31,basic,en,"Mac Desktop",Safari,NDF
73,2010-02-02,NULL,-unknown-,29,basic,en,"Mac Desktop",Safari,NDF
74,2010-02-02,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
75,2010-02-02,2010-02-09,FEMALE,57,basic,en,"Windows Desktop",Firefox,FR
76,2010-02-03,2010-02-04,FEMALE,30,basic,en,"Mac Desktop",Chrome,US
77,2010-02-03,2010-08-12,-unknown-,49,basic,en,"Mac Desktop",Chrome,US
78,2010-02-04,NULL,FEMALE,37,basic,en,"Mac Desktop",Safari,NDF
79,2010-02-04,2010-03-20,-unknown-,NULL,basic,en,iPhone,-unknown-,GB
80,2010-02-06,NULL,-unknown-,26,basic,en,iPhone,"Mobile Safari",NDF
81,2010-02-06,2010-02-06,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,other
82,2010-02-06,2010-02-10,FEMALE,36,basic,en,iPhone,-unknown-,US
83,2010-02-06,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Chrome,NDF
84,2010-02-06,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Chrome,NDF
85,2010-02-07,2010-02-07,FEMALE,32,basic,en,"Windows Desktop",Chrome,US
86,2010-02-07,2010-06-01,MALE,33,basic,en,"Mac Desktop",Firefox,US
87,2010-02-08,2010-02-11,FEMALE,46,facebook,en,"Windows Desktop",IE,US
88,2010-02-08,2010-02-26,FEMALE,40,basic,en,"Mac Desktop",Firefox,IT
89,2010-02-09,NULL,MALE,25,facebook,en,"Mac Desktop",Chrome,NDF
90,2010-02-09,NULL,MALE,25,facebook,en,"Mac Desktop",Chrome,NDF
91,2010-02-09,2010-02-20,-unknown-,54,basic,en,"Mac Desktop",Safari,FR
92,2010-02-09,2010-02-10,-unknown-,32,facebook,en,"Mac Desktop",Chrome,US
93,2010-02-10,2010-03-19,-unknown-,NULL,basic,en,"Mac Desktop",Safari,FR
94,2010-02-10,2010-08-25,-unknown-,28,basic,en,"Windows Desktop",Chrome,US
95,2010-02-10,2010-02-12,FEMALE,57,basic,en,"Mac Desktop",Firefox,US
96,2010-02-10,2010-02-13,FEMALE,47,basic,en,"Windows Desktop",IE,US
97,2010-02-10,2010-07-16,MALE,34,basic,en,"Windows Desktop",Chrome,US
98,2010-02-11,2010-02-13,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,US
99,2010-02-11,NULL,-unknown-,35,basic,en,Other/Unknown,-unknown-,NDF
100,2010-02-11,NULL,-unknown-,32,basic,en,"Windows Desktop",Chrome,NDF
101,2010-02-12,NULL,-unknown-,NULL,basic,en,Other/Unknown,-unknown-,NDF
102,2010-02-12,NULL,-unknown-,34,basic,en,"Mac Desktop",Safari,NDF
103,2010-02-12,2010-02-21,OTHER,40,basic,en,"Mac Desktop",Chrome,ES
104,2010-02-13,NULL,-unknown-,NULL,basic,en,"Mac Desktop",Firefox,NDF
105,2010-02-13,2010-02-13,-unknown-,NULL,basic,en,"Windows Desktop",Chrome,US
